query_id,paper_id,true_title,context,retrieved_titles,category,corpus_size
q_0,paper_0,{Attention is All you Need,"Introduction
Transformer<|cite_0|> is widely used in natural language processing due to its high training efficiency and superior capa","['{BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding', '{MetaPruning: Meta Learning for Automatic Neural Network Channel Pruning', 'GAN Compression: Efficient Architectures for Interactive Conditional GANs', '{Learning Efficient Convolutional Networks through Network Slimming', '{Adaptive Attention Span in Transformers']",not_in_top_k,51
q_2,paper_0,{Neural Architecture Search with Reinforcement Learning,"tecture specialized for real-time NLP applications on the edge. Automatic neural architecture search<|cite_2|> is a choice for high accuracy model design, but the massive search cost (GPU hours and $CO_2$ emiss","['{ProxylessNAS: Direct Neural Architecture Search on Target Task and Hardware', '{Learning Efficient Convolutional Networks through Network Slimming', '{FBNet: Hardware-Aware Efficient ConvNet Design via Differentiable Neural Architecture Search', '{Efficient Neural Architecture Search via Parameter Sharing', '{Energy and Policy Considerations for Deep Learning in NLP']",not_in_top_k,51
q_7,paper_0,{Neural Machine Translation in Linear Time,"e-art performance. For instance, researchers have proposed highly-efficient convolution-based models<|cite_7|>. Convolution is an ideal primitive to model the local context information; however, it lacks the ab","['Point-Voxel CNN for efficient 3D deep learning', '{Pay Less Attention with Lightweight and Dynamic Convolutions', '{Pay Less Attention with Lightweight and Dynamic Convolutions', '{Energy and Policy Considerations for Deep Learning in NLP', '{Self-Attention with Relative Position Representations']",not_in_top_k,51
q_8,paper_0,{Attention is All you Need,"native, attention is able to capture global-context information by pairwise correlation. Transformer<|cite_8|> has demonstrated that it is possible to stack the self-attentions to achieve state-of-the-art perfo","['Generating Long Sequences with Sparse Transformers', '{Adaptive Attention Span in Transformers', '{Adaptive Attention Span in Transformers', '{Augmenting self-attention with persistent memory', '{Self-Attention with Relative Position Representations']",not_in_top_k,51
q_9,paper_0,{Weighted Transformer Network for Machine Translation,"achieve state-of-the-art performance. Recently, there have been a lot of variants to the transformer<|cite_9|>. Among them,<|cite_10|> proposed to scale up the batch size;<|cite_11|> leverages the relative posi","['{Depthwise Separable Convolutions for Neural Machine Translation', '{Scaling Neural Machine Translation', '{Scaling Neural Machine Translation', '{The Evolved Transformer', '{The Evolved Transformer']",not_in_top_k,51
q_14,paper_0,{Neural Architecture Search with Reinforcement Learning,"chitecture design space, automating the design with neural architecture search (NAS) becomes popular<|cite_14|>. To make the design efficient, integrating the hardware resource constraints into the optimization ","['{HAQ: Hardware-Aware Automated Quantization with Mixed Precision', '{HAQ: Hardware-Aware Automated Quantization with Mixed Precision', '{FBNet: Hardware-Aware Efficient ConvNet Design via Differentiable Neural Architecture Search', '{ProxylessNAS: Direct Neural Architecture Search on Target Task and Hardware', '{The Evolved Transformer']",not_in_top_k,51
q_19,paper_0,{Neural Architecture Search with Reinforcement Learning,"17|>. In the NLP community, the evolved transformer<|cite_18|> adopts the neural architecture search<|cite_19|> to design basic blocks and finds a better \#parameter-BLEU trade-off for the transformer. However, ","['{The Evolved Transformer', '{The Evolved Transformer', '{The Evolved Transformer', '{ProxylessNAS: Direct Neural Architecture Search on Target Task and Hardware', '{Energy and Policy Considerations for Deep Learning in NLP']",not_in_top_k,51
q_20,paper_0,Point-Voxel CNN for efficient 3D deep learning,"most researchers.

\myparagraph{Model Acceleration.}

Apart from designing efficient models directly<|cite_20|>, another approach to achieve efficient inference is to compress and accelerate the existing large m","['GAN Compression: Efficient Architectures for Interactive Conditional GANs', '{AMC: AutoML for Model Compression and Acceleration on Mobile Devices', '{AMC: AutoML for Model Compression and Acceleration on Mobile Devices', '{Learning Efficient Convolutional Networks through Network Slimming', '{HAQ: Hardware-Aware Automated Quantization with Mixed Precision']",not_in_top_k,51
q_21,paper_0,{Learning both Weights and Connections for Efficient Neural Networks,"accelerate the existing large models. For instance, some have proposed to prune the separate neurons<|cite_21|> or the entire channels<|cite_22|>; others have proposed to quantize the network<|cite_23|> to accel","['{Channel Pruning for Accelerating Very Deep Neural Networks', '{MetaPruning: Meta Learning for Automatic Neural Network Channel Pruning', '{Learning Efficient Convolutional Networks through Network Slimming', '{Quantizing Deep Convolutional Networks for Efficient Inference: A Whitepaper', '{Trained Ternary Quantization']",not_in_top_k,51
q_23,paper_0,{Binarized Neural Networks: Training Deep Neural Networks with Weights and Activations Constrained to +1 or -1,"e neurons<|cite_21|> or the entire channels<|cite_22|>; others have proposed to quantize the network<|cite_23|> to accelerate the model inference. 
Recently, AutoML has also been used to automate the model compr","['{Quantizing Deep Convolutional Networks for Efficient Inference: A Whitepaper', '{AMC: AutoML for Model Compression and Acceleration on Mobile Devices', '{AMC: AutoML for Model Compression and Acceleration on Mobile Devices', '{Channel Pruning for Accelerating Very Deep Neural Networks', '{HAQ: Hardware-Aware Automated Quantization with Mixed Precision']",not_in_top_k,51
q_25,paper_1,Modeling polypharmacy side effects with graph convolutional networks," has attracted much attention recently,

and have been applied to various tasks such as bio-medicine<|cite_0|>, computational chemistry<|cite_1|>, social networks<|cite_2|>, computer vision, and natural languag","['Neural message passing for quantum chemistry', 'Improved semantic representations from tree-structured long short-term memory networks', 'Graph neural networks for social recommendation', 'Sentence-state lstm for text representation', 'Graph convolutional networks for text classification']",not_in_top_k,38
q_28,paper_1,Dynamically fused graph network for multi-hop reasoning," chemistry<|cite_1|>, social networks<|cite_2|>, computer vision, and natural language understanding<|cite_3|>. GNN assumes structured graphical inputs, for example, molecule graphs, protein-protein interaction","['Graph neural networks for social recommendation', 'Neural message passing for quantum chemistry', 'Inductive representation learning on large graphs', 'Inductive representation learning on large graphs', 'How powerful are graph neural networks?']",not_in_top_k,38
q_30,paper_1,Inductive representation learning on large graphs,"to learn graph representation,

which include Graph Convolutional Network (GCN)<|cite_4|>, GraphSage<|cite_5|>, Graph Isomorphism Network (GIN)<|cite_6|> and Graph Attention Network (GAT)<|cite_7|>. Existing GN","['Graph convolutional networks for text classification', 'How powerful are graph neural networks?', 'How powerful are graph neural networks?', 'Graph attention networks', 'Graph attention networks']",not_in_top_k,38
q_35,paper_1,Dynamic coattention networks for question answering,"as a way to encode query-aware contextual information based on affinity matrix between two sequences<|cite_10|>. In the context of this paper, the advantage of co-attention is that it can encode neighbor-aware i","['Bidirectional attention flow for machine comprehension', 'Bidirectional attention flow for machine comprehension', 'Graph convolutional encoders for syntax-aware neural machine translation', 'Multi-hop reading comprehension across multiple documents by reasoning over heterogeneous graphs', 'Multi-hop reading comprehension across multiple documents by reasoning over heterogeneous graphs']",not_in_top_k,38
