id,excerpt,target_paper_title,target_paper_url,source_paper_title,source_paper_url,year,split,Attributable,Unambiguous,NonTrivial,Reasonable,PassesAll,KeepAfterFiltering
21,"One reason might be the training task itself: from [CITATION] we know that ImageNet can be solved to high accuracy using only local information. In other words, it might simply suffice to integrate evidence from many local texture features rather than going through the process of integrating and classifying global shapes",Approximating CNNs with Bag-of-local-Features models works surprisingly well on ImageNet,https://arxiv.org/pdf/1904.00760.pdf,ImageNet-trained CNNs are biased towards texture; increasing shape bias improves accuracy and robustness,https://arxiv.org/pdf/1811.12231.pdf,2019,train,True,True,True,True,True,True
24,"To address this, [CITATION] introduced Adversarial Filtering (AF). An overview is shown in Figure 2. The key idea is to produce a dataset D which is adversarial for any arbitrary split of (D_train), (D_test)",Swag: A Large-Scale Adversarial Dataset for Grounded Commonsense Inference,https://aclanthology.org/D18-1009.pdf,HellaSwag: Can a Machine Really Finish Your Sentence?,https://arxiv.org/pdf/1905.07830.pdf,2019,test,True,True,True,True,True,True
54,"A user may want to control the amount of snow on the mountain. However, it is quite difficult to describe the desired amount of snow through text. Instead, we suggest a fader control [CITATION], where the user controls the magnitude of the effect induced by a specific word, as depicted in fig. 9. ",Fader networks: Manipulating images by sliding attributes,https://arxiv.org/pdf/1706.00409.pdf,Prompt-to-Prompt Image Editing with Cross Attention Control,https://arxiv.org/pdf/2208.01626.pdf,2022,test,True,True,True,True,True,True
56,"The model was trained on Gaussian patches [CITATION]. Since no model weights are released, we can only include their Top-1 ImageNet-C accuracy values from their paper (and not the Top-5).",Improving Robustness Without Sacrificing Accuracy with Patch Gaussian Augmentation,https://arxiv.org/pdf/1906.02611.pdf,A simple way to make neural networks robust against diverse image corruptions,https://arxiv.org/pdf/2001.06057.pdf,2020,test,True,True,True,True,True,True
59,"Our evaluation follows the protocol of [CITATION], a recent inpainting model that introduces a specialized architecture relying on Fast Fourier Convolutions [8]",Resolution-robust Large Mask Inpainting with Fourier Convolutions,https://arxiv.org/pdf/2109.07161.pdf,High-Resolution Image Synthesis with Latent Diffusion Models,https://arxiv.org/pdf/2112.10752.pdf,2022,test,True,True,True,True,True,True
69,"This attack [CITATION] uses a task-ignoring text (e.g., “Ignore my previous instructions.”) to explicitly tell the LLM that the target task should be ignored. Specifically, given the target data $x^t$ , injected instruction $s^e$, and injected data $x^e$, this attack crafts \tilde{x} by appending a task-ignoring text to $x^t$ before concatenating with ssse and $x^e$.",Ignore Previous Prompt: Attack Techniques For Language Models,https://arxiv.org/pdf/2211.09527.pdf,Prompt Injection attack against LLM-integrated Applications,https://arxiv.org/pdf/2306.05499.pdf,2024,test,True,True,True,True,True,True
86,"To mitigate this relational understanding issue, a composition-aware hard negative mining strategy (NegCLIP) is introduced in [CITATION]. Note that this strategy is extremely lightweight, and can be seamlessly integrated as an additional fine-tuning stage in enhancing CLIP’s text understanding ability","When and why vision-language models behave like bags-of-words, and what to do about it?",https://arxiv.org/pdf/2210.01936.pdf,An Inverse Scaling Law for CLIP Training,https://arxiv.org/pdf/2305.07017.pdf,2023,test,True,True,True,True,True,True
88,"More specifically, these strategies employ Plackett-Luce (PL) ranking models [38, 48] to enhance the likelihood of achieving the most accurate item ordering. In RankCLIP, we incorporate ListMLE [CITATION] as part of our training objective to optimize both in-modal and cross-modal ranking consistencies.",Learning to Rank: From Pairwise Approach to Listwise Approach,http://icml2008.cs.helsinki.fi/papers/167.pdf,RankCLIP: Ranking-Consistent Language-Image Pretraining,https://arxiv.org/pdf/2404.09387.pdf,2024,test,True,True,True,True,True,True
92,Recent focus has been on synthetic methods like Deductive Databases (DD) [CITATION] that mimic human-like proving techniques and produce intelligible proofs by treating the problem of theorem proving as a step-by-step search problem using a set of geometry axioms.,A Deductive Database Approach to Automated Geometry Theorem Proving and Discovering,https://link.springer.com/article/10.1023/A:1006171315513,Wu's Method can Boost Symbolic AI to Rival Silver Medalists and AlphaGeometry to Outperform Gold Medalists at IMO Geometry,https://arxiv.org/pdf/2404.06405,2024,test,True,True,True,True,True,True
104,Sentiment analysis: we adopt the SST-2 [CITATION] dataset from the GLUE,Recursive Deep Models for Semantic Compositionality Over a Sentiment Treebank,https://nlp.stanford.edu/~socherr/EMNLP2013_RNTN.pdf,PromptBench: Towards Evaluating the Robustness of Large Language Models on Adversarial Prompts,https://arxiv.org/pdf/2306.04528,2023,test,True,True,True,True,True,True
120,"[CITATION] advocates the development of a theory of clustering that will be “independent of any particular algorithm, objective function, or generative data model. They suggest three axioms, aimed to define what a clustering function is, each sounding plausible, and shows that these seemingly natural axioms lead to a contradiction - there exists no function that satisfies all three requirements.",An Impossibility Theorem for Clustering,https://dl.acm.org/doi/10.5555/2968618.2968676,Measures of Clustering Quality: A Working Set of Axioms for Clustering,https://proceedings.neurips.cc/paper_files/paper/2008/file/beed13602b9b0e6ecb5b568ff5058f07-Paper.pdf,2008,test,True,True,True,True,True,True
