query_id,paper_id,true_title,context,retrieved_titles,category,corpus_size
q_4,paper_0,{Pay Less Attention with Lightweight and Dynamic Convolutions,"ttnshort dedicates \textit{specialized} heads to model long and short distance contexts. Inspired by<|cite_4|>, \attnshort introduces convolution in a parallel branch to capture \textbf{local} dependencies so t","['{Attention is All you Need', '{Attention is All you Need', '{Convolutional Sequence to Sequence Learning', 'Generating Long Sequences with Sparse Transformers', '{The Best of Both Worlds: Combining Recent Advances in Neural Machine Translation']",not_in_top_k,51
q_7,paper_0,{Neural Machine Translation in Linear Time,"e-art performance. For instance, researchers have proposed highly-efficient convolution-based models<|cite_7|>. Convolution is an ideal primitive to model the local context information; however, it lacks the ab","['{Learning Efficient Convolutional Networks through Network Slimming', 'Point-Voxel CNN for efficient 3D deep learning', '{ProxylessNAS: Direct Neural Architecture Search on Target Task and Hardware', 'GAN Compression: Efficient Architectures for Interactive Conditional GANs', '{MnasNet: Platform-Aware Neural Architecture Search for Mobile']",not_in_top_k,51
q_10,paper_0,{Scaling Neural Machine Translation,"t performance. Recently, there have been a lot of variants to the transformer<|cite_9|>. Among them,<|cite_10|> proposed to scale up the batch size;<|cite_11|> leverages the relative position representations;<|c","['{The Evolved Transformer', '{The Evolved Transformer', '{The Evolved Transformer', '{Self-Attention with Relative Position Representations', '{Self-Attention with Relative Position Representations']",not_in_top_k,51
q_20,paper_0,Point-Voxel CNN for efficient 3D deep learning,"most researchers.

\myparagraph{Model Acceleration.}

Apart from designing efficient models directly<|cite_20|>, another approach to achieve efficient inference is to compress and accelerate the existing large m","['{Quantizing Deep Convolutional Networks for Efficient Inference: A Whitepaper', '{Channel Pruning for Accelerating Very Deep Neural Networks', '{AMC: AutoML for Model Compression and Acceleration on Mobile Devices', '{AMC: AutoML for Model Compression and Acceleration on Mobile Devices', '{Efficient Neural Architecture Search via Parameter Sharing']",not_in_top_k,51
q_23,paper_0,{Binarized Neural Networks: Training Deep Neural Networks with Weights and Activations Constrained to +1 or -1,"e neurons<|cite_21|> or the entire channels<|cite_22|>; others have proposed to quantize the network<|cite_23|> to accelerate the model inference. 
Recently, AutoML has also been used to automate the model compr","['{AMC: AutoML for Model Compression and Acceleration on Mobile Devices', '{AMC: AutoML for Model Compression and Acceleration on Mobile Devices', '{Trained Ternary Quantization', '{Quantizing Deep Convolutional Networks for Efficient Inference: A Whitepaper', '{Deep Compression: Compressing Deep Neural Networks with Pruning, Trained Quantization and Huffman Coding']",not_in_top_k,51
q_25,paper_1,Modeling polypharmacy side effects with graph convolutional networks," has attracted much attention recently,

and have been applied to various tasks such as bio-medicine<|cite_0|>, computational chemistry<|cite_1|>, social networks<|cite_2|>, computer vision, and natural languag","['Graph attention networks', 'Graph attention networks', 'Neural message passing for quantum chemistry', 'Graph convolutional networks for text classification', 'Graph neural networks for social recommendation']",not_in_top_k,38
q_28,paper_1,Dynamically fused graph network for multi-hop reasoning," chemistry<|cite_1|>, social networks<|cite_2|>, computer vision, and natural language understanding<|cite_3|>. GNN assumes structured graphical inputs, for example, molecule graphs, protein-protein interaction","['Graph neural networks for social recommendation', 'Neural message passing for quantum chemistry', 'Graph convolutional networks for text classification', 'Hierarchical graph network for multi-hop question answering', 'Hierarchical graph network for multi-hop question answering']",not_in_top_k,38
q_33,paper_1,Multi-hop reading comprehension across multiple documents by reasoning over heterogeneous graphs,"ge passing algorithm is applied to obtain node representations from these summarized feature vectors<|cite_8|>.

However, this early summarization strategy (summarization before GNN based representation learnin","['Graph convolutional encoders for syntax-aware neural machine translation', 'Exploiting semantics in neural machine translation with graph convolutional networks', 'Graph neural networks for social recommendation', 'Graph convolutional networks for text classification', 'How powerful are graph neural networks?']",not_in_top_k,38
q_34,paper_1,Bidirectional attention flow for machine comprehension,"egy (summarization before GNN based representation learning) could bring inevitable information loss<|cite_9|>, and result in
information flow bottleneck thus less powerful reasoning ability among graph nodes. ","['Inductive representation learning on large graphs', 'Inductive representation learning on large graphs', 'Graph convolutional networks for text classification', 'Graph neural networks for social recommendation', 'Hierarchical graph network for multi-hop question answering']",not_in_top_k,38
q_35,paper_1,Dynamic coattention networks for question answering,"as a way to encode query-aware contextual information based on affinity matrix between two sequences<|cite_10|>. In the context of this paper, the advantage of co-attention is that it can encode neighbor-aware i","['Bidirectional attention flow for machine comprehension', 'Bidirectional attention flow for machine comprehension', 'Inductive representation learning on large graphs', 'Inductive representation learning on large graphs', 'Question answering by reasoning across documents with graph convolutional networks']",not_in_top_k,38
q_38,paper_1,Gear: Graph-based evidence aggregating and reasoning for fact verification,"ve reasoning ability, and top performance has been achieved with early summarization followed by GNN<|cite_13|>. With thorough experiments, we show that the proposed GSN achieves better performance than standard","['Exploiting semantics in neural machine translation with graph convolutional networks', 'Hierarchical graph network for multi-hop question answering', 'Hierarchical graph network for multi-hop question answering', 'Question answering by reasoning across documents with graph convolutional networks', 'Graph neural networks for social recommendation']",not_in_top_k,38
q_39,paper_1,Semi-supervised classification with graph convolutional networks,"
Multiple GNN variants have been proposed with different message passing algorithms. For example GCN<|cite_14|>, Graph Sage<|cite_15|>, GAT<|cite_16|>, GIN<|cite_17|>, etc. Our proposed GSN can be regarded as a ","['Graph neural networks for social recommendation', 'Neural message passing for quantum chemistry', 'Graph convolutional networks for text classification', 'Graph attention networks', 'Graph attention networks']",not_in_top_k,38
q_40,paper_1,Inductive representation learning on large graphs,"have been proposed with different message passing algorithms. For example GCN<|cite_14|>, Graph Sage<|cite_15|>, GAT<|cite_16|>, GIN<|cite_17|>, etc. Our proposed GSN can be regarded as a variant of GNN. However","['Graph neural networks for social recommendation', 'Neural message passing for quantum chemistry', 'Graph convolutional networks for text classification', 'Graph attention networks', 'Graph attention networks']",not_in_top_k,38
